*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=V1.0.0
*Date=10:52:20
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;45.9299;-17.9977;0;Bottom;Via18
2;;;80.921;-19.6302;0;Bottom;TXT12
3;;;71.8682;-5.23932;0;Bottom;TXT7
4;;;71.3299;-17.9977;0;Bottom;Via24
5;;;53.5498;-40.8579;0;Bottom;Via63
6;;;83.9356;-5.10983;0;Bottom;Hole6
7;;cap-pth-small-kit;58.6298;-9.23488;-90;Bottom;22p
8;;;44.7724;-38.0565;0;Bottom;TXT4
9;;3 mm [THT];23.7608;-15.4577;-90;Bottom;.
10;;;51.0099;-40.8579;0;Bottom;Via16
11;;;75.1627;-37.0538;-90;Bottom;TXT13
12;;;4.82757;-41.1623;90;Bottom;TXT7
13;;;40.8499;-40.8579;0;Bottom;Via8
14;;;47.0132;-21.1964;0;Bottom;TXT4
15;;;43.3148;-29.2971;0;Bottom;TXT8
16;;;15.4499;-28.1579;0;Bottom;Via29
17;;;68.7899;-40.8579;0;Bottom;Via4
18;;;7.49866;-34.3161;0;Bottom;Via77
19;;usb-b-pth;2.81773;-24.0177;0;Bottom;USB
20;220;THT;78.1031;-28.8634;-90;Bottom;1K
21;;;51.0099;-17.9977;0;Bottom;Via20
22;;;71.3297;-29.4077;0;Bottom;Via67
23;;;29.0706;-4.03171;0;Bottom;TXT1
24;;;71.9581;-3.85599;0;Bottom;TXT9
25;;;68.7899;-17.9977;0;Bottom;Via23
26;;;13.377;-30.3216;0;Bottom;TXT4
27;;;75.6988;-22.5487;0;Bottom;TXT18
28;;;17.1113;-45.7217;0;Bottom;Hole8
29;;;7.49866;-39.7731;0;Bottom;Via75
30;;;71.3299;-40.8579;0;Bottom;Via15
31;;cap-pth-small-kit;57.4868;-40.8579;0;Bottom;LDR
32;;;49.3735;-45.5514;0;Bottom;TXT1
33;;;20.5297;-43.3979;0;Bottom;Via50
34;;;11.6461;-9.54984;0;Bottom;Via70
35;;;17.1863;-18.2802;0;Bottom;TXT4
36;220;THT;30.6898;-17.9979;0;Bottom;10K
37;;;49.281;-49.367;0;Top;TXT2
38;;;3.31405;-4.73335;0;Bottom;Hole5
39;;;23.0699;-20.5378;0;Bottom;Via60
40;220;THT;28.1498;-30.6979;0;Bottom;100k
41;;;82.1091;-22.9147;0;Bottom;TXT10
42;;;43.3899;-17.9978;0;Bottom;Via13
43;;;32.4609;-9.08595;0;Bottom;IMG1
44;;;15.4499;-20.5377;0;Bottom;Via26
45;;;66.2499;-40.8579;0;Bottom;Via5
46;;;78.9498;-40.8579;0;Bottom;Via66
47;;;66.3854;-42.6465;0;Bottom;TXT17
48;;;73.8698;-7.83793;0;Bottom;Via36
49;;;67.3034;-38.0168;0;Bottom;TXT4
